title,description
Konsep dasar bahasa Indonesia untuk perguruan tinggi,Konsep dasar bahasa Indonesia untuk perguruan tinggi
Sejarah perjumpaan Kristen dan Islam di Indonesia,Sejarah perjumpaan Kristen dan Islam di Indonesia
Sejarah pergerakan dan kemerdekaan Indonesia,Sejarah pergerakan dan kemerdekaan Indonesia
Indonesia habis gelap terbitlah terang,Indonesia habis gelap terbitlah terang
CSR dalam praktik di Indonesia,CSR dalam praktik di Indonesia
Inilah bahasa Indonesia yang benar,Inilah bahasa Indonesia yang benar
Perkembangan teater modern dan sastra drama Indonesia,Perkembangan teater modern dan sastra drama Indonesia
Lintasan sejarah pendidikan di Indonesia,Lintasan sejarah pendidikan di Indonesia
Buku panduan kehutanan Indonesia,Buku panduan kehutanan Indonesia
Administrasi kepegawaian Negara Indonesia,Administrasi kepegawaian Negara Indonesia
Tatabahasa deskriptif bahasa Indonesia,Tatabahasa deskriptif bahasa Indonesia
Penegakan hukum lingkungan Indonesia,Penegakan hukum lingkungan Indonesia
Arah baru studi Islam di Indonesia,Arah baru studi Islam di Indonesia
Aneka masalah hukum perdata Islam di Indonesia,Aneka masalah hukum perdata Islam di Indonesia
Hukum perseroan Indonesia,Hukum perseroan Indonesia
Psikologi prasangka orang Indonesia,Psikologi prasangka orang Indonesia
Bahasa Indonesia hukum,Bahasa Indonesia hukum
Sejarah ekonomi modern Indonesia,Sejarah ekonomi modern Indonesia
Etnis Tionghoa di Indonesia,Etnis Tionghoa di Indonesia
"Negosiasi, mediasi, dan arbitrase","Negosiasi, mediasi, dan arbitrase"
Bahasa Indonesia di perguruan tinggi,Bahasa Indonesia di perguruan tinggi
Industri pariwisata Indonesia,Industri pariwisata Indonesia
Pengantar sejarah kebudayaan Indonesia,Pengantar sejarah kebudayaan Indonesia
Kapita selekta hukum perlindungan konsumen di Indonesia,Kapita selekta hukum perlindungan konsumen di Indonesia
Sistem moneter dan perbankan di Indonesia,Sistem moneter dan perbankan di Indonesia
An empire of the East,An empire of the East
Manajemen kepegawaian di Indonesia,Manajemen kepegawaian di Indonesia
Mengenal kontrak konstruksi di Indonesia,Mengenal kontrak konstruksi di Indonesia
Legislasi hukum Islam di Indonesia,Legislasi hukum Islam di Indonesia
Politik dan pemerintahan Indonesia,Politik dan pemerintahan Indonesia
Sejarah perkeretaapian Indonesia,Sejarah perkeretaapian Indonesia
Sejarah kebudayaan Indonesia masa Hindu-Buddha,Sejarah kebudayaan Indonesia masa Hindu-Buddha
Aspek-aspek hukum perbankan di Indonesia,Aspek-aspek hukum perbankan di Indonesia
The traditional architecture of Indonesia,The traditional architecture of Indonesia
Asas-asas hukum pidana Indonesia,Asas-asas hukum pidana Indonesia
Pendidikan anti korupsi,Pendidikan anti korupsi
Hubungan internasional,Hubungan internasional
Pengantar pasar modal,Pengantar pasar modal
Asas-asas hukum pidana di Indonesia dan penerapannya,Asas-asas hukum pidana di Indonesia dan penerapannya
Panduan gerakan pramuka Indonesia,Panduan gerakan pramuka Indonesia
Pertumbuhan Ekonomi Indonesia 2010,Pertumbuhan Ekonomi Indonesia 2010
Bahasa gaul remaja Indonesia,Bahasa gaul remaja Indonesia
Pemakzulan presiden di Indonesia,Pemakzulan presiden di Indonesia
"Proceeding[s] Worksh[o]p on Synthesis of Qualitative and Quantitative Methods in Child Survival Research in Indonesia, Jakarta, July 6-10, 1987 =","Proceeding[s] Worksh[o]p on Synthesis of Qualitative and Quantitative Methods in Child Survival Research in Indonesia, Jakarta, July 6-10, 1987 ="
Negara hukum Indonesia,Negara hukum Indonesia
Hukum hak cipta Indonesia,Hukum hak cipta Indonesia
Hukum ekonomi Islam (ekonomi syariah) di Indonesia,Hukum ekonomi Islam (ekonomi syariah) di Indonesia
Penggunaan bahasa Indonesia ragam tulis dalam penyusunan karya ilmiah,Penggunaan bahasa Indonesia ragam tulis dalam penyusunan karya ilmiah
Sistem peradilan pidana Indonesia,Sistem peradilan pidana Indonesia
Data dasar gunung api Indonesia,Data dasar gunung api Indonesia
Dasar-dasar pengetahuan tata hukum Indonesia dari ilmu hukum pidana Indonesia,Dasar-dasar pengetahuan tata hukum Indonesia dari ilmu hukum pidana Indonesia
Hukum laut internasional dan pengaturannya di Indonesia,Hukum laut internasional dan pengaturannya di Indonesia
Dishes from Indonesia,Dishes from Indonesia
Perubahan sosial dan pendidikan,Perubahan sosial dan pendidikan
Potret negara Indonesia,Potret negara Indonesia
Politik luar negeri Indonesia di tengah pusaran politik domestik,Politik luar negeri Indonesia di tengah pusaran politik domestik
Kedudukan dan fungsi bahasa Indonesia di Jawa Timur,Kedudukan dan fungsi bahasa Indonesia di Jawa Timur
100 orang Indonesia paling berpengaruh,100 orang Indonesia paling berpengaruh
Financing local government in Indonesia,Financing local government in Indonesia
Kisah Hikayat Laba-Laba Gua Tsur Yang Mencintai & Melindungi Nabi Muhammad SAW Edisi Bilingual Inggris & Indonesia,Kisah Hikayat Laba-Laba Gua Tsur Yang Mencintai & Melindungi Nabi Muhammad SAW Edisi Bilingual Inggris & Indonesia
Kumpulan pahlawan Indonesia terlengkap,Kumpulan pahlawan Indonesia terlengkap
Manajemen dana pensiun Indonesia,Manajemen dana pensiun Indonesia
Ensiklopedia sastra Indonesia modern,Ensiklopedia sastra Indonesia modern
Novel sastra Indonesia sebelum perang,Novel sastra Indonesia sebelum perang
"Pengamalan Pancasila dalam rangaka meningkatkan martabat, hak dan kewajiban asasi warga negara","Pengamalan Pancasila dalam rangaka meningkatkan martabat, hak dan kewajiban asasi warga negara"
Manajemen dan reformasi pelayanan publik dalam konteks birokrasi Indonesia,Manajemen dan reformasi pelayanan publik dalam konteks birokrasi Indonesia
Sistem budaya Indonesia,Sistem budaya Indonesia
Komik pahlawan Indonesia,Komik pahlawan Indonesia
Membangun sepakbola Indonesia modern,Membangun sepakbola Indonesia modern
Prof. Mr. Soediman Kartohadiprodjo tentang Pancasila sebagai pandangan hidup bangsa Indonesia,Prof. Mr. Soediman Kartohadiprodjo tentang Pancasila sebagai pandangan hidup bangsa Indonesia
Hitler mati di Indonesia,Hitler mati di Indonesia
Hukum Agraria Indonesia,Hukum Agraria Indonesia
Lonely Planet Indonesia,Lonely Planet Indonesia
Sejarah dan pemikiran tasawuf di Indonesia,Sejarah dan pemikiran tasawuf di Indonesia
"Perundang-undangan lengkap tentang peradilan umum, peradilan khusus, dan Mahkamah Konstitusi","Perundang-undangan lengkap tentang peradilan umum, peradilan khusus, dan Mahkamah Konstitusi"
Ideology in Indonesia,Ideology in Indonesia
Konsep distribusi dalam ekonomi Islam dan format keadilan ekonomi di Indonesia,Konsep distribusi dalam ekonomi Islam dan format keadilan ekonomi di Indonesia
Sejarah pers di Indonesia,Sejarah pers di Indonesia
Kitab Undang-Undang Hukum Perdata,Kitab Undang-Undang Hukum Perdata
Kamus dialek Banyumas-Indonesia,Kamus dialek Banyumas-Indonesia
Indonesia - Culture Smart!,Indonesia - Culture Smart!
Penerapan good governance di Indonesia,Penerapan good governance di Indonesia
Indonesia's Foreign Policy,Indonesia's Foreign Policy
"Kamus lengkap, Jerman-Indonesia, Indonesia-Jerman","Kamus lengkap, Jerman-Indonesia, Indonesia-Jerman"
BIPA (Bahasa Indonesia Untuk Penutur Asing),BIPA (Bahasa Indonesia Untuk Penutur Asing)
Mozaik permasalahan infrastruktur Indonesia,Mozaik permasalahan infrastruktur Indonesia
Hukum perikatan syariah di Indonesia,Hukum perikatan syariah di Indonesia
Prinsip-prinsip dasar sistem hukum Indonesia,Prinsip-prinsip dasar sistem hukum Indonesia
Sejarah film Indonesia,Sejarah film Indonesia
Kamus umum bahasa isyarat Indonesia,Kamus umum bahasa isyarat Indonesia
Arbitrase dan mediasi di Indonesia,Arbitrase dan mediasi di Indonesia
Sukarno's guided Indonesia,Sukarno's guided Indonesia
Pemerintahan daerah di Indonesia,Pemerintahan daerah di Indonesia
Tinjauan desain grafis,Tinjauan desain grafis
Buku penerangan Indonesia,Buku penerangan Indonesia
Wawasan Nusantara adalah pandangan geopolitik bangsa Indonesia,Wawasan Nusantara adalah pandangan geopolitik bangsa Indonesia
Telikungan kapitalisme global dalam sejarah kebangsaan Indonesia,Telikungan kapitalisme global dalam sejarah kebangsaan Indonesia
Pemikiran dan perubahan politik Indonesia,Pemikiran dan perubahan politik Indonesia
Katalog alat penangkapan ikan Indonesia =,Katalog alat penangkapan ikan Indonesia =
Sejarah olahraga Indonesia,Sejarah olahraga Indonesia
Etnik Tionghoa di Indonesia,Etnik Tionghoa di Indonesia
The land and people of Indonesia,The land and people of Indonesia
Doing business in Indonesia.,Doing business in Indonesia.
Kepemimpinan pemerintahan di Indonesia,Kepemimpinan pemerintahan di Indonesia
Tata kalimat bahasa Indonesia,Tata kalimat bahasa Indonesia
Hubungan industrial di Indonesia,Hubungan industrial di Indonesia
Tatalaksana ekspor impor Indonesia,Tatalaksana ekspor impor Indonesia
Kopi internasional dan Indonesia,Kopi internasional dan Indonesia
Produktivitas dan manusia Indonesia,Produktivitas dan manusia Indonesia
Hukum dagang di Indonesia,Hukum dagang di Indonesia
"Ilmu bahasa Indonesia, morfologi","Ilmu bahasa Indonesia, morfologi"
"Membaca Banten, membaca Indonesia","Membaca Banten, membaca Indonesia"
Khazanah tafsir Indonesia,Khazanah tafsir Indonesia
Ekonomika industri Indonesia,Ekonomika industri Indonesia
Kosakata bahasa Indonesia,Kosakata bahasa Indonesia
Inovasi perusahaan Indonesia,Inovasi perusahaan Indonesia
Benua maritim Indonesia,Benua maritim Indonesia
Sejarah telekomunikasi Indonesia,Sejarah telekomunikasi Indonesia
Weapons and fighting arts of Indonesia,Weapons and fighting arts of Indonesia
Indonesia in pictures,Indonesia in pictures
Penghancuran gerakan perempuan di Indonesia,Penghancuran gerakan perempuan di Indonesia
Pokok-pokok hukum penitensier Indonesia,Pokok-pokok hukum penitensier Indonesia
MATERI DAN PEMBELAJARAN BAHASA INDONESIA,MATERI DAN PEMBELAJARAN BAHASA INDONESIA
Pengantar novel Indonesia,Pengantar novel Indonesia
"Antologi Drama Indonesia, Jilid 3 (1946-1968)","Antologi Drama Indonesia, Jilid 3 (1946-1968)"
Kamus Bahasa Dayak Ngaju - Indonesia,Kamus Bahasa Dayak Ngaju - Indonesia
"Kitab kuning, pesantren, dan tarekat","Kitab kuning, pesantren, dan tarekat"
Kata depan atau preposisi dalam bahasa Indonesia,Kata depan atau preposisi dalam bahasa Indonesia
Pendidikan arsitektur & peran arsitek Indonesia,Pendidikan arsitektur & peran arsitek Indonesia
Politik hukum Indonesia,Politik hukum Indonesia
Women and work in Indonesia,Women and work in Indonesia
Nasionalisme Indonesia,Nasionalisme Indonesia
Sejarah sastra Indonesia modern,Sejarah sastra Indonesia modern
Distribusi kekuasaan negara Indonesia,Distribusi kekuasaan negara Indonesia
Antropologi & pembangunan Indonesia,Antropologi & pembangunan Indonesia
"Daftar istilah teknik mesin, Inggris-Indonesia","Daftar istilah teknik mesin, Inggris-Indonesia"
Konsep-konsep dasar pengajaran bahasa Indonesia,Konsep-konsep dasar pengajaran bahasa Indonesia
Pelik-pelik bahasa Indonesia,Pelik-pelik bahasa Indonesia
Pasar modal Indonesia,Pasar modal Indonesia
Tantangan multikulturalisme Indonesia,Tantangan multikulturalisme Indonesia
Indonesia's War over Aceh,Indonesia's War over Aceh
A history of modern Indonesia since c. 1300,A history of modern Indonesia since c. 1300
Ki Hajar Dewantara dan Taman Siswa dalam sejarah Indonesia modern,Ki Hajar Dewantara dan Taman Siswa dalam sejarah Indonesia modern
Peradilan pidana anak di Indonesia,Peradilan pidana anak di Indonesia
Manajemen risiko perbankan,Manajemen risiko perbankan
The communist collapse in Indonesia,The communist collapse in Indonesia
A short history of Indonesia,A short history of Indonesia
Paradigma baru manajemen Indonesia,Paradigma baru manajemen Indonesia
Buku imunisasi di Indonesia,Buku imunisasi di Indonesia
Sejarah kebudayaan Islam Indonesia,Sejarah kebudayaan Islam Indonesia
Memahami hukum ketenagakerjaan Indonesia,Memahami hukum ketenagakerjaan Indonesia
Menuju Republik Indonesia Serikat,Menuju Republik Indonesia Serikat
Antologi desain grafis Indonesia,Antologi desain grafis Indonesia
Perkembangan pers di Indonesia,Perkembangan pers di Indonesia
Untuk Indonesia yang kuat,Untuk Indonesia yang kuat
Kamus ungkapan Indonesia-Inggris,Kamus ungkapan Indonesia-Inggris
1010 resep asli masakan Indonesia,1010 resep asli masakan Indonesia
Perspektif pendidikan bahasa Inggris di Indonesia,Perspektif pendidikan bahasa Inggris di Indonesia
Kamus peribahasa Indonesia,Kamus peribahasa Indonesia
Indonesian palaeography,Indonesian palaeography
Pengantar filsafat Marxis,Pengantar filsafat Marxis
Karya arsitek Indonesia,Karya arsitek Indonesia
"Misi, misiologi & evangelisasi di Indonesia","Misi, misiologi & evangelisasi di Indonesia"
Perjuangan politik bangsa Indonesia,Perjuangan politik bangsa Indonesia
Masjarakat Indonesia dan revolusi Indonesia,Masjarakat Indonesia dan revolusi Indonesia
Konsep emosi orang Indonesia,Konsep emosi orang Indonesia
Studi perkembangan kognitif anak sekolah dasar di Indonesia,Studi perkembangan kognitif anak sekolah dasar di Indonesia
Sejarah Gereja Methodist Indonesia,Sejarah Gereja Methodist Indonesia
Karya prestisius & monumental Indonesia,Karya prestisius & monumental Indonesia
Sistem administrasi negara Republik Indonesia.,Sistem administrasi negara Republik Indonesia.
Miracles in Indonesia,Miracles in Indonesia
Perkembangan pendidikan Islam di Indonesia,Perkembangan pendidikan Islam di Indonesia
Batik pesisir pusaka Indonesia,Batik pesisir pusaka Indonesia
Buku ajar sejarah gereja Indonesia,Buku ajar sejarah gereja Indonesia
Kamus bahasa Mongondow-Indonesia,Kamus bahasa Mongondow-Indonesia
Migrasi penduduk di Indonesia,Migrasi penduduk di Indonesia
perang kemerdekaan indoesia,perang kemerdekaan indoesia
Perlindungan hukum terhadap anak dalam sistem peradilan pidana anak di Indonesia,Perlindungan hukum terhadap anak dalam sistem peradilan pidana anak di Indonesia
Sejarah Indonesia masa Hindu-Buddha,Sejarah Indonesia masa Hindu-Buddha
Manajemen kepegawaian sipil di Indonesia,Manajemen kepegawaian sipil di Indonesia
Sejarah kebudayaan Islam di Indonesia,Sejarah kebudayaan Islam di Indonesia
Analisis spasial dan regional,Analisis spasial dan regional
Apakah mereka mata-mata?,Apakah mereka mata-mata?
Pemikiran politik Islam,Pemikiran politik Islam
Islam dan kebudayaan Indonesia,Islam dan kebudayaan Indonesia
"Pengantar dan pemikiran hukum keluarga, perdata Islam Indonesia","Pengantar dan pemikiran hukum keluarga, perdata Islam Indonesia"
Suka berbahasa Indonesia,Suka berbahasa Indonesia
Historiografi haji Indonesia,Historiografi haji Indonesia
Hukum kontrak Indonesia dalam perspektif perbandingan,Hukum kontrak Indonesia dalam perspektif perbandingan
"Gotong-royong, suatu karakteristik bangsa Indonesia","Gotong-royong, suatu karakteristik bangsa Indonesia"
Himpunan fatwa Majelis Ulama Indonesia,Himpunan fatwa Majelis Ulama Indonesia
Gender diversity in Indonesia,Gender diversity in Indonesia
Ikan-ikan laut ekonomis penting di Indonesia,Ikan-ikan laut ekonomis penting di Indonesia
666 misteri paling heboh Indonesia & dunia,666 misteri paling heboh Indonesia & dunia
Hukum keluarga Indonesia,Hukum keluarga Indonesia
Hukum perbankan di Indonesia,Hukum perbankan di Indonesia
Presiden Republik Indonesia ketiga,Presiden Republik Indonesia ketiga
The Internet in Indonesia's new democracy,The Internet in Indonesia's new democracy
Perkembangan linguistik di Indonesia,Perkembangan linguistik di Indonesia
Rahasia sukses 10 pengusaha terkaya Indonesia,Rahasia sukses 10 pengusaha terkaya Indonesia
The co-operative movement in Indonesia,The co-operative movement in Indonesia
Orang dan partai Nazi di Indonesia,Orang dan partai Nazi di Indonesia
Undang-Undang ITE (Informasi dan Transaksi Elektronik),Undang-Undang ITE (Informasi dan Transaksi Elektronik)
"Kitab lengkap KUHPer (Kitab Undang-Undang Hukum Perdata), KUHAPer (Kitab Undang-Undang Hukum Acara Perdata), KUHP (Kitab Undang-Undang Hukum Pidana), KUHAP (Kitab Undang-Undang Hukum Acara Pidana), KUHD (Kitab Undang-Undang Hukum Dagang)","Kitab lengkap KUHPer (Kitab Undang-Undang Hukum Perdata), KUHAPer (Kitab Undang-Undang Hukum Acara Perdata), KUHP (Kitab Undang-Undang Hukum Pidana), KUHAP (Kitab Undang-Undang Hukum Acara Pidana), KUHD (Kitab Undang-Undang Hukum Dagang)"
"Peraturan Pemerintah Republik Indonesia nomor 32 tahun 2011 tentang manajemen dan rekayasa, analisis dampak, serta manajemen kebutuhan lalu lintas","Peraturan Pemerintah Republik Indonesia nomor 32 tahun 2011 tentang manajemen dan rekayasa, analisis dampak, serta manajemen kebutuhan lalu lintas"
Sistim pemasyarakatan di Indonesia,Sistim pemasyarakatan di Indonesia
Sejarah kereta api Indonesia,Sejarah kereta api Indonesia
Sejarah pergerakan rakyat Indonesia,Sejarah pergerakan rakyat Indonesia
Sejarah hukum adat Indonesia,Sejarah hukum adat Indonesia
Kamus bahasa Indonesia kontemporer,Kamus bahasa Indonesia kontemporer
Bahan pelatihan penguatan metodologi pembelajaran berdasarkan nilai-nilai budaya untuk membentuk daya saing dan karakter bangsa,Bahan pelatihan penguatan metodologi pembelajaran berdasarkan nilai-nilai budaya untuk membentuk daya saing dan karakter bangsa
Filsafat politik untuk Indonesia,Filsafat politik untuk Indonesia
Seni budaya & warisan Indonesia,Seni budaya & warisan Indonesia
Sejarah perkembangan pesantren di Indonesia,Sejarah perkembangan pesantren di Indonesia
Sastra Indonesia dalam enam pertanyaan,Sastra Indonesia dalam enam pertanyaan
Latar belakang sejarah dan kultural korupsi di Indonesia,Latar belakang sejarah dan kultural korupsi di Indonesia
Aspek hukum perbankan syariah di Indonesia,Aspek hukum perbankan syariah di Indonesia
Bahasa & sastra Indonesia,Bahasa & sastra Indonesia
Kongres Bahasa Indonesia IV,Kongres Bahasa Indonesia IV
Model bahan ajar matematika untuk sekolah dasar,Model bahan ajar matematika untuk sekolah dasar
Emansipasi dan peran ganda wanita Indonesia,Emansipasi dan peran ganda wanita Indonesia
Indonesia negara pegawai,Indonesia negara pegawai
Pendidikan kewarganegaraan dalam konteks Indonesia,Pendidikan kewarganegaraan dalam konteks Indonesia
Sejarah perkembangan Islam di Indonesia,Sejarah perkembangan Islam di Indonesia
